year,cancerType,state,stat,value
2007,Infectious,GA,population,9349988
2007,Infectious,GA,crude_rate,27.1
2008,Infectious,GA,deaths,2483
2008,Infectious,GA,population,9504843
2008,Infectious,GA,crude_rate,26.1
2009,Infectious,GA,deaths,2590
2009,Infectious,GA,population,9620846
2009,Infectious,GA,crude_rate,26.9
2010,Infectious,GA,deaths,2438
2010,Infectious,GA,population,9687653
2010,Infectious,GA,crude_rate,25.2
1999,Infectious,HI,deaths,250
1999,Infectious,HI,population,1210300
1999,Infectious,HI,crude_rate,20.7
2000,Infectious,HI,deaths,216
2000,Infectious,HI,population,1211537
2000,Infectious,HI,crude_rate,17.8
2001,Infectious,HI,deaths,241
2001,Infectious,HI,population,1225948
2001,Infectious,HI,crude_rate,19.7
2002,Infectious,HI,deaths,227
2002,Infectious,HI,population,1239613
2002,Infectious,HI,crude_rate,18.3
2003,Infectious,HI,deaths,229
2003,Infectious,HI,population,1251154
2003,Infectious,HI,crude_rate,18.3
2004,Infectious,HI,deaths,286
2004,Infectious,HI,population,1273569
2004,Infectious,HI,crude_rate,22.5
2005,Infectious,HI,deaths,253
2005,Infectious,HI,population,1292729
2005,Infectious,HI,crude_rate,19.6
2006,Infectious,HI,deaths,267
2006,Infectious,HI,population,1309731
2006,Infectious,HI,crude_rate,20.4
2007,Infectious,HI,deaths,249
2007,Infectious,HI,population,1315675
2007,Infectious,HI,crude_rate,18.9
2008,Infectious,HI,deaths,249
2008,Infectious,HI,population,1332213
2008,Infectious,HI,crude_rate,18.7
2009,Infectious,HI,deaths,216
2009,Infectious,HI,population,1346717
2009,Infectious,HI,crude_rate,16
2010,Infectious,HI,deaths,232
2010,Infectious,HI,population,1360301
2010,Infectious,HI,crude_rate,17.1
1999,Infectious,ID,deaths,125
1999,Infectious,ID,population,1275674
1999,Infectious,ID,crude_rate,9.8
2000,Infectious,ID,deaths,123
2000,Infectious,ID,population,1293953
2000,Infectious,ID,crude_rate,9.5
2001,Infectious,ID,deaths,115
2001,Infectious,ID,population,1319962
2001,Infectious,ID,crude_rate,8.7
2002,Infectious,ID,deaths,137
2002,Infectious,ID,population,1340372
2002,Infectious,ID,crude_rate,10.2
2003,Infectious,ID,deaths,124
2003,Infectious,ID,population,1363380
2003,Infectious,ID,crude_rate,9.1
2004,Infectious,ID,deaths,118
2004,Infectious,ID,population,1391802
2004,Infectious,ID,crude_rate,8.5
2005,Infectious,ID,deaths,138
2005,Infectious,ID,population,1428241
2005,Infectious,ID,crude_rate,9.7
2006,Infectious,ID,deaths,171
2006,Infectious,ID,population,1468669
2006,Infectious,ID,crude_rate,11.6
2007,Infectious,ID,deaths,150
2007,Infectious,ID,population,1505105
2007,Infectious,ID,crude_rate,10
2008,Infectious,ID,deaths,167
2008,Infectious,ID,population,1534320
2008,Infectious,ID,crude_rate,10.9
2009,Infectious,ID,deaths,165
2009,Infectious,ID,population,1554439
2009,Infectious,ID,crude_rate,10.6
2010,Infectious,ID,deaths,174
2010,Infectious,ID,population,1567582
2010,Infectious,ID,crude_rate,11.1
1999,Infectious,IL,deaths,2894
1999,Infectious,IL,population,12359020
1999,Infectious,IL,crude_rate,23.4
2000,Infectious,IL,deaths,2836
2000,Infectious,IL,population,12419293
2000,Infectious,IL,crude_rate,22.8
2001,Infectious,IL,deaths,2971
2001,Infectious,IL,population,12488445
2001,Infectious,IL,crude_rate,23.8
2002,Infectious,IL,deaths,3129
2002,Infectious,IL,population,12525556
2002,Infectious,IL,crude_rate,25
2003,Infectious,IL,deaths,3127
2003,Infectious,IL,population,12556006
2003,Infectious,IL,crude_rate,24.9
2004,Infectious,IL,deaths,3084
2004,Infectious,IL,population,12589773
2004,Infectious,IL,crude_rate,24.5
2005,Infectious,IL,deaths,3096
2005,Infectious,IL,population,12609903
2005,Infectious,IL,crude_rate,24.6
2006,Infectious,IL,deaths,3091
2006,Infectious,IL,population,12643955
2006,Infectious,IL,crude_rate,24.4
2007,Infectious,IL,deaths,3200
2007,Infectious,IL,population,12695866
2007,Infectious,IL,crude_rate,25.2
2008,Infectious,IL,deaths,3081
2008,Infectious,IL,population,12747038
2008,Infectious,IL,crude_rate,24.2
2009,Infectious,IL,deaths,3170
2009,Infectious,IL,population,12796778
2009,Infectious,IL,crude_rate,24.8
2010,Infectious,IL,deaths,3117
2010,Infectious,IL,population,12830632
2010,Infectious,IL,crude_rate,24.3
1999,Infectious,IN,deaths,1174
1999,Infectious,IN,population,6044969
1999,Infectious,IN,crude_rate,19.4
2000,Infectious,IN,deaths,1177
2000,Infectious,IN,population,6080485
2000,Infectious,IN,crude_rate,19.4
2001,Infectious,IN,deaths,1164
2001,Infectious,IN,population,6127760
2001,Infectious,IN,crude_rate,19
2002,Infectious,IN,deaths,1220
2002,Infectious,IN,population,6155967
2002,Infectious,IN,crude_rate,19.8
2003,Infectious,IN,deaths,1253
2003,Infectious,IN,population,6196638
2003,Infectious,IN,crude_rate,20.2
2004,Infectious,IN,deaths,1232
2004,Infectious,IN,population,6233007
2004,Infectious,IN,crude_rate,19.8
2005,Infectious,IN,deaths,1298
2005,Infectious,IN,population,6278616
2005,Infectious,IN,crude_rate,20.7
